name,category,standard
17 Hornady Magnum Rimfire,rimfire,SAAMI
17 Mach 2,rimfire,SAAMI
17 Winchester Super Magnum,rimfire,SAAMI
22 Long Rifle - Match,rimfire,SAAMI
22 Long Rifle - Shot,rimfire,SAAMI
22 Long Rifle - Sporting,rimfire,SAAMI
22 Long,rimfire,SAAMI
22 Short,rimfire,SAAMI
22 Winchester Magnum,rimfire,SAAMI
22 Winchester Rimfire,rimfire,SAAMI
"10 Gauge 3 1/2 Smooth bore""",shotshell,SAAMI
"12 Gauge 2 3/4 Rifled""",shotshell,SAAMI
"12 Gauge 2 3/4 Smooth bore""",shotshell,SAAMI
"12 Gauge 3 Rifled""",shotshell,SAAMI
"12 Gauge 3 Smooth bore""",shotshell,SAAMI
"12 Gauge 3 1/2 Smooth bore""",shotshell,SAAMI
"16 Gauge 2 3/4 Smooth bore""",shotshell,SAAMI
"20 Gauge 2 3/4 Rifled""",shotshell,SAAMI
"20 Gauge 2 3/4 Smooth bore""",shotshell,SAAMI
"20 Gauge 3 Rifled""",shotshell,SAAMI
"20 Gauge 3 Smooth bore""",shotshell,SAAMI
"28 Gauge 2 3/4 Smooth bore""",shotshell,SAAMI
"410 Bore 2 1/2 Smooth bore""",shotshell,SAAMI
"410 Bore 3 Smooth bore""",shotshell,SAAMI
5.45 x 18,pistol,CIP
5.75 Velodog,pistol,CIP
6.35 Browning,pistol,CIP
7 x 49 Guido J. Wasser,pistol,CIP
7 Penna,pistol,CIP
7mm Penna L,pistol,CIP
7.5 FK,pistol,CIP
7.5 Ordonnance Suisse,pistol,CIP
7.62 x 25 Tokarev,pistol,CIP
7.62 Nagant,pistol,CIP
7.63 Mauser,pistol,CIP
7.65 Browning,pistol,CIP
7.65 Long,pistol,CIP
7.65 Parabellum,pistol,CIP
8mm Gasser,pistol,CIP
8mm Lebel,pistol,CIP
8mm Steyr,pistol,CIP
9 x 18,pistol,CIP
9 x 20 VGW,pistol,CIP
9 x 21,pistol,CIP
9 x 22 Major,pistol,CIP
9 x 25 Super Automatic G,pistol,CIP
9mm Makarov,pistol,CIP
9mm Browning court,pistol,CIP
9mm Browning long,pistol,CIP
9mm Fast Accurate Reliable,pistol,CIP
9mm FX & CQT,pistol,CIP
9mm Luger,pistol,CIP
9mm Mauser,pistol,CIP
9mm Steyr,pistol,CIP
10 x 22 T,pistol,CIP
10mm Automatic,pistol,CIP
10mm Fast Accurate Reliable,pistol,CIP
10.4 Ordinanza Italiana,pistol,CIP
11mm 73,pistol,CIP
22 PICRA,pistol,CIP
22 Remington Jet Magnum,pistol,CIP
221 Remington Fireball,pistol,CIP
260 PICRA,pistol,CIP
30 PICRA,pistol,CIP
30-357 Armi e Tiro,pistol,CIP
32 Harrington & Richardson Magnum,pistol,CIP
32 Long Colt,pistol,CIP
32 Short Colt,pistol,CIP
32 Smith & Wesson,pistol,CIP
32 Smith & Wesson Long,pistol,CIP
32 Smith & Wesson Long Wad Cutter,pistol,CIP
320 Long,pistol,CIP
320 Short,pistol,CIP
357 Automatic Magnum,pistol,CIP
357 Magnum,pistol,CIP
357 Magnum (carb),pistol,CIP
357 Maximum,pistol,CIP
357 SIG,pistol,CIP
38 Long Colt,pistol,CIP
38 Short Colt,pistol,CIP
38 Smith & Wesson. Colt New Police,pistol,CIP
38 Special,pistol,CIP
38 Special (carb),pistol,CIP
38 Special Army Marksmanship Unit,pistol,CIP
38 Special Wad Cutter,pistol,CIP
38 Super Automatic,pistol,CIP
38/357 FX,pistol,CIP
38-45 Automatic Colt Pistol,pistol,CIP
380 Long,pistol,CIP
380 Short,pistol,CIP
40 Smith & Wesson,pistol,CIP
41 Action Express,pistol,CIP
41 Long Colt,pistol,CIP
41 Remington Magnum,pistol,CIP
44 Colt,pistol,CIP
44 Remington Magnum,pistol,CIP
44 Remington Magnum (carb),pistol,CIP
44 Smith & Wesson Russian,pistol,CIP
44 Smith & Wesson Special,pistol,CIP
44 Smith & Wesson Special (carb),pistol,CIP
45 Automatic,pistol,CIP
45 Automatic Rim,pistol,CIP
45 Colt,pistol,CIP
45 Colt (carb),pistol,CIP
45 Glock Auto Pistol,pistol,CIP
45 HP,pistol,CIP
45 Smith & Wesson Schofield,pistol,CIP
45 Smith & Wesson Schofield (carb),pistol,CIP
45 Winchester Magnum,pistol,CIP
450 SCH,pistol,CIP
450 Short,pistol,CIP
454 Casull,pistol,CIP
455 MK II,pistol,CIP
460 Smith & Wesson Magnum,pistol,CIP
475 Linebaugh,pistol,CIP
480 Ruger,pistol,CIP
50 Action Express,pistol,CIP
500 Smith & Wesson Magnum,pistol,CIP
215,rifle,CIP
4.6 x 30,rifle,CIP
5mm / 35 SMc,rifle,CIP
5.45 x 39,rifle,CIP
5.6 x 39,rifle,CIP
5.6 x 50 Magnum,rifle,CIP
5.6 x 57,rifle,CIP
5.6 x 61 Super Express Vom Hofe,rifle,CIP
5.7 x 28,rifle,CIP
6 x 47 ATZL,rifle,CIP
6 x 47 SM,rifle,CIP
6 x 51 ATZL,rifle,CIP
6 x 62 Freres,rifle,CIP
6mm Bench Rest Farè,rifle,CIP
6mm Bench Rest Norma,rifle,CIP
6mm Bench Rest Remington,rifle,CIP
6mm D.B.G.,rifle,CIP
6mm Palmisano & Pindel Cartridge,rifle,CIP
6mm Palmisano & Pindel Cartridge ITA,rifle,CIP
6mm Palmisano & Pindel Cartridge-USA,rifle,CIP
6mm Remington (244 Remington),rifle,CIP
6 XC,rifle,CIP
6.3 x 57 Farè,rifle,CIP
6.5 - 284 Norma,rifle,CIP
6.5 x 39,rifle,CIP
6.5 x 47 Lapua,rifle,CIP
6.5 x 52 Carcano,rifle,CIP
6.5 x 54 Mauser,rifle,CIP
6.5 x 54 Mannlicher–Schönauer,rifle,CIP
6.5 x 55 SE,rifle,CIP
6.5 x 55 T.R.I.,rifle,CIP
6.5 x 57,rifle,CIP
6.5 x 58 Mauser,rifle,CIP
6.5 x 63 Messner Magnum,rifle,CIP
6.5 x 64,rifle,CIP
6.5 x 64 Brenneke,rifle,CIP
6.5 x 65 Rheinisch-Westfälischen Sprengstoff-Fabriken,rifle,CIP
6.5 x 68,rifle,CIP
6.5 Creedmoor,rifle,CIP
6.5 Grendel,rifle,CIP
6.5mm D.B.G.,rifle,CIP
6.5mm Lahoz,rifle,CIP
6.8mm Remington Special Purpose Cartridge,rifle,CIP
7 x 33 Sako,rifle,CIP
7 X 44 Penna,rifle,CIP
7 x 57,rifle,CIP
7 x 64,rifle,CIP
7-47 Giani Special,rifle,CIP
7mm - 08 Remington,rifle,CIP
7mm Blaser Magnum,rifle,CIP
7mm Bench Rest Remington,rifle,CIP
7mm Express Remington,rifle,CIP
7mm KM,rifle,CIP
7mm Remington Short Action Ultra Magnum,rifle,CIP
7mm Remington Ultra Magnum,rifle,CIP
7mm Super Express Vom Hofe,rifle,CIP
7mm Winchester Short Magnum,rifle,CIP
7.21 Firebird,rifle,CIP
7.5 x 54 Manufacture d'armes de Saint-Étienne,rifle,CIP
7.5 x 55 Suisse,rifle,CIP
7.62 x 39,rifle,CIP
7.62 x 45,rifle,CIP
7.62 Ukötter Katzmeier Magnum,rifle,CIP
7.65 x 53 Argentine,rifle,CIP
7.82 Warbird,rifle,CIP
7.92 x 24 Van Bruaene Rik,rifle,CIP
7.92 x 33 kurz,rifle,CIP
8 x 51 (Mauser K),rifle,CIP
8 x 56 Mannlicher–Schönauer,rifle,CIP
8 x 57 I,rifle,CIP
8 x 57 IS,rifle,CIP
8 x 57 PCC,rifle,CIP
8 x 60,rifle,CIP
8 x 60 S,rifle,CIP
8 x 64,rifle,CIP
8 x 64 S,rifle,CIP
8 x 68 S,rifle,CIP
8 x 75 S,rifle,CIP
8.5 x 63,rifle,CIP
8.5 x 68 Fanzoj,rifle,CIP
8.5mm Messner Magnum,rifle,CIP
9 x 56 Mannlicher–Schönauer,rifle,CIP
9 x 57,rifle,CIP
9.3 x 57,rifle,CIP
9.3 x 62,rifle,CIP
9.3 x 64 Brenneke,rifle,CIP
9.3 x 66 Sako,rifle,CIP
9.3 Roedale Short Magnum,rifle,CIP
9.5 x 57 Mannlicher–Schönauer,rifle,CIP
9.5 x 66 Super Express Vom Hofe,rifle,CIP
10.3 CSP,rifle,CIP
10.75 x 68,rifle,CIP
12.7 x 70 (500 Schüler),rifle,CIP
12.7 x 108,rifle,CIP
17 Libra,rifle,CIP
17 Remington,rifle,CIP
17 Remington Fireball,rifle,CIP
204 Ruger,rifle,CIP
22 Palmisano & Pindel Cartridge-USA,rifle,CIP
22-250 Remington,rifle,CIP
220 Swift,rifle,CIP
